path_id,seed,rho,pin_gain,hit_s
1,734921,1.0,3.0,0.936
2,734921,1.0,3.0,0.9755
3,734921,1.0,3.0,0.811
4,734921,1.0,3.0,0.657
5,734921,1.0,3.0,0.6995
6,734921,1.0,3.0,1.3115
7,734921,1.0,3.0,0.7275
8,734921,1.0,3.0,1.8075
9,734921,1.0,3.0,2.7745
10,734921,1.0,3.0,0.7295
11,734921,1.0,3.0,0.2605
12,734921,1.0,3.0,0.7765
13,734921,1.0,3.0,1.1445
14,734921,1.0,3.0,1.0215
15,734921,1.0,3.0,0.9735
16,734921,1.0,3.0,0.7285
17,734921,1.0,3.0,0.751
18,734921,1.0,3.0,0.979
19,734921,1.0,3.0,0.801
20,734921,1.0,3.0,0.6225
21,734921,1.0,3.0,0.3205
22,734921,1.0,3.0,0.8055
23,734921,1.0,3.0,0.58
24,734921,1.0,3.0,2.0685000000000002
25,734921,1.0,3.0,0.61
26,734921,1.0,3.0,0.616
27,734921,1.0,3.0,1.2825
28,734921,1.0,3.0,0.803
29,734921,1.0,3.0,1.056
30,734921,1.0,3.0,0.769
31,734921,1.0,3.0,1.0575
32,734921,1.0,3.0,1.6105
33,734921,1.0,3.0,0.9295
34,734921,1.0,3.0,1.8655
35,734921,1.0,3.0,0.289
36,734921,1.0,3.0,0.4025
37,734921,1.0,3.0,0.9115
38,734921,1.0,3.0,0.47500000000000003
39,734921,1.0,3.0,0.47400000000000003
40,734921,1.0,3.0,0.9285
41,734921,1.0,3.0,1.0795000000000001
42,734921,1.0,3.0,0.418
43,734921,1.0,3.0,0.34800000000000003
44,734921,1.0,3.0,0.497
45,734921,1.0,3.0,0.789
46,734921,1.0,3.0,0.7625000000000001
47,734921,1.0,3.0,0.558
48,734921,1.0,3.0,0.551
49,734921,1.0,3.0,0.3755
50,734921,1.0,3.0,0.6175
51,734921,1.0,3.0,0.6285000000000001
52,734921,1.0,3.0,0.9415
53,734921,1.0,3.0,2.5935
54,734921,1.0,3.0,0.521
55,734921,1.0,3.0,0.505
56,734921,1.0,3.0,1.6105
57,734921,1.0,3.0,0.297
58,734921,1.0,3.0,0.3835
59,734921,1.0,3.0,0.7815
60,734921,1.0,3.0,0.257
61,734921,1.0,3.0,0.522
62,734921,1.0,3.0,1.108
63,734921,1.0,3.0,1.012
64,734921,1.0,3.0,0.607
65,734921,1.0,3.0,0.6085
66,734921,1.0,3.0,0.343
67,734921,1.0,3.0,0.6305000000000001
68,734921,1.0,3.0,1.49
69,734921,1.0,3.0,0.6095
70,734921,1.0,3.0,0.737
71,734921,1.0,3.0,0.7155
72,734921,1.0,3.0,0.502
73,734921,1.0,3.0,0.9185
74,734921,1.0,3.0,0.8835000000000001
75,734921,1.0,3.0,0.75
76,734921,1.0,3.0,1.2235
77,734921,1.0,3.0,0.449
78,734921,1.0,3.0,1.4725
79,734921,1.0,3.0,1.139
80,734921,1.0,3.0,0.724
81,734921,1.0,3.0,1.1205
82,734921,1.0,3.0,0.6425
83,734921,1.0,3.0,0.747
84,734921,1.0,3.0,2.633
85,734921,1.0,3.0,0.9460000000000001
86,734921,1.0,3.0,1.1380000000000001
87,734921,1.0,3.0,1.083
88,734921,1.0,3.0,0.442
89,734921,1.0,3.0,0.865
90,734921,1.0,3.0,0.261
91,734921,1.0,3.0,0.609
92,734921,1.0,3.0,1.0105
93,734921,1.0,3.0,1.0110000000000001
94,734921,1.0,3.0,0.5745
95,734921,1.0,3.0,0.8705
96,734921,1.0,3.0,0.512
97,734921,1.0,3.0,2.115
98,734921,1.0,3.0,0.4805
99,734921,1.0,3.0,0.47300000000000003
100,734921,1.0,3.0,1.207
101,734921,1.0,3.0,1.668
102,734921,1.0,3.0,0.452
103,734921,1.0,3.0,0.73
104,734921,1.0,3.0,1.4145
105,734921,1.0,3.0,2.99
106,734921,1.0,3.0,0.748
107,734921,1.0,3.0,0.5405
108,734921,1.0,3.0,0.458
109,734921,1.0,3.0,0.7635000000000001
110,734921,1.0,3.0,1.322
111,734921,1.0,3.0,1.234
112,734921,1.0,3.0,0.8395
113,734921,1.0,3.0,0.665
114,734921,1.0,3.0,0.723
115,734921,1.0,3.0,1.561
116,734921,1.0,3.0,0.7235
117,734921,1.0,3.0,0.619
118,734921,1.0,3.0,0.768
119,734921,1.0,3.0,0.5265
120,734921,1.0,3.0,0.5985
121,734921,1.0,3.0,1.0205
122,734921,1.0,3.0,1.0110000000000001
123,734921,1.0,3.0,0.432
124,734921,1.0,3.0,1.2945
125,734921,1.0,3.0,0.719
126,734921,1.0,3.0,1.1300000000000001
127,734921,1.0,3.0,0.879
128,734921,1.0,3.0,0.2915
129,734921,1.0,3.0,1.016
130,734921,1.0,3.0,0.5035000000000001
131,734921,1.0,3.0,0.632
132,734921,1.0,3.0,0.3915
133,734921,1.0,3.0,0.894
134,734921,1.0,3.0,4.067
135,734921,1.0,3.0,0.761
136,734921,1.0,3.0,0.53
137,734921,1.0,3.0,1.4115
138,734921,1.0,3.0,0.5375
139,734921,1.0,3.0,1.2590000000000001
140,734921,1.0,3.0,0.806
141,734921,1.0,3.0,0.719
142,734921,1.0,3.0,0.3265
143,734921,1.0,3.0,0.3985
144,734921,1.0,3.0,0.7295
145,734921,1.0,3.0,0.39
146,734921,1.0,3.0,0.6085
147,734921,1.0,3.0,2.664
148,734921,1.0,3.0,0.404
149,734921,1.0,3.0,0.767
150,734921,1.0,3.0,0.511
151,734921,1.0,3.0,1.1485
152,734921,1.0,3.0,0.6745
153,734921,1.0,3.0,0.452
154,734921,1.0,3.0,0.7435
155,734921,1.0,3.0,0.877
156,734921,1.0,3.0,0.446
157,734921,1.0,3.0,0.2755
158,734921,1.0,3.0,1.054
159,734921,1.0,3.0,0.8585
160,734921,1.0,3.0,0.9625
161,734921,1.0,3.0,0.8845000000000001
162,734921,1.0,3.0,3.6765
163,734921,1.0,3.0,0.328
164,734921,1.0,3.0,0.437
165,734921,1.0,3.0,0.841
166,734921,1.0,3.0,0.32
167,734921,1.0,3.0,0.8615
168,734921,1.0,3.0,0.687
169,734921,1.0,3.0,0.6920000000000001
170,734921,1.0,3.0,1.3245
171,734921,1.0,3.0,0.665
172,734921,1.0,3.0,0.7385
173,734921,1.0,3.0,1.438
174,734921,1.0,3.0,0.7655000000000001
175,734921,1.0,3.0,0.4665
176,734921,1.0,3.0,0.4675
177,734921,1.0,3.0,0.6980000000000001
178,734921,1.0,3.0,0.8165
179,734921,1.0,3.0,0.455
180,734921,1.0,3.0,0.874
181,734921,1.0,3.0,0.3165
182,734921,1.0,3.0,0.8115
183,734921,1.0,3.0,0.28500000000000003
184,734921,1.0,3.0,0.718
185,734921,1.0,3.0,0.4375
186,734921,1.0,3.0,0.5365
187,734921,1.0,3.0,1.038
188,734921,1.0,3.0,1.508
189,734921,1.0,3.0,0.5835
190,734921,1.0,3.0,1.0795000000000001
191,734921,1.0,3.0,0.9245
192,734921,1.0,3.0,1.158
193,734921,1.0,3.0,1.032
194,734921,1.0,3.0,0.611
195,734921,1.0,3.0,1.9685000000000001
196,734921,1.0,3.0,0.5055000000000001
197,734921,1.0,3.0,0.9595
198,734921,1.0,3.0,0.7025
199,734921,1.0,3.0,0.31
200,734921,1.0,3.0,1.3445
201,734921,1.0,3.0,0.6235
202,734921,1.0,3.0,0.7020000000000001
203,734921,1.0,3.0,1.7785
204,734921,1.0,3.0,0.5505
205,734921,1.0,3.0,1.7055
206,734921,1.0,3.0,1.3505
207,734921,1.0,3.0,1.0575
208,734921,1.0,3.0,0.577
209,734921,1.0,3.0,1.9000000000000001
210,734921,1.0,3.0,1.08
211,734921,1.0,3.0,0.8195
212,734921,1.0,3.0,1.0945
213,734921,1.0,3.0,0.353
214,734921,1.0,3.0,0.7105
215,734921,1.0,3.0,0.9285
216,734921,1.0,3.0,0.6535
217,734921,1.0,3.0,1.2415
218,734921,1.0,3.0,1.621
219,734921,1.0,3.0,0.4455
220,734921,1.0,3.0,0.3045
221,734921,1.0,3.0,1.6620000000000001
222,734921,1.0,3.0,0.6145
223,734921,1.0,3.0,0.7175
224,734921,1.0,3.0,0.3995
225,734921,1.0,3.0,0.5925
226,734921,1.0,3.0,0.594
227,734921,1.0,3.0,1.216
228,734921,1.0,3.0,0.761
229,734921,1.0,3.0,1.8405
230,734921,1.0,3.0,0.46950000000000003
231,734921,1.0,3.0,0.2485
232,734921,1.0,3.0,0.7035
233,734921,1.0,3.0,0.34550000000000003
234,734921,1.0,3.0,0.265
235,734921,1.0,3.0,0.618
236,734921,1.0,3.0,0.7575000000000001
237,734921,1.0,3.0,0.875
238,734921,1.0,3.0,0.6755
239,734921,1.0,3.0,0.419
240,734921,1.0,3.0,0.6555
241,734921,1.0,3.0,0.6725
242,734921,1.0,3.0,1.4025
243,734921,1.0,3.0,0.511
244,734921,1.0,3.0,0.3145
245,734921,1.0,3.0,0.5455
246,734921,1.0,3.0,0.506
247,734921,1.0,3.0,1.56
248,734921,1.0,3.0,0.627
249,734921,1.0,3.0,0.4385
250,734921,1.0,3.0,0.9895
251,734921,1.0,3.0,0.8835000000000001
252,734921,1.0,3.0,0.9115
253,734921,1.0,3.0,0.7325
254,734921,1.0,3.0,1.4475
255,734921,1.0,3.0,1.742
256,734921,1.0,3.0,0.379
257,734921,1.0,3.0,0.9605
258,734921,1.0,3.0,0.606
259,734921,1.0,3.0,0.3415
260,734921,1.0,3.0,0.499
261,734921,1.0,3.0,0.732
262,734921,1.0,3.0,0.649
263,734921,1.0,3.0,0.338
264,734921,1.0,3.0,0.3795
265,734921,1.0,3.0,0.6065
266,734921,1.0,3.0,0.527
267,734921,1.0,3.0,0.753
268,734921,1.0,3.0,0.5535
269,734921,1.0,3.0,1.125
270,734921,1.0,3.0,0.637
271,734921,1.0,3.0,0.464
272,734921,1.0,3.0,1.113
273,734921,1.0,3.0,1.4325
274,734921,1.0,3.0,1.031
275,734921,1.0,3.0,1.0595
276,734921,1.0,3.0,0.291
277,734921,1.0,3.0,0.8335
278,734921,1.0,3.0,1.0095
279,734921,1.0,3.0,0.38
280,734921,1.0,3.0,0.462
281,734921,1.0,3.0,0.592
282,734921,1.0,3.0,1.476
283,734921,1.0,3.0,1.064
284,734921,1.0,3.0,1.0805
285,734921,1.0,3.0,1.348
286,734921,1.0,3.0,2.1515
287,734921,1.0,3.0,0.5695
288,734921,1.0,3.0,0.4835
289,734921,1.0,3.0,1.498
290,734921,1.0,3.0,0.661
291,734921,1.0,3.0,0.8175
292,734921,1.0,3.0,1.2525
293,734921,1.0,3.0,3.906
294,734921,1.0,3.0,0.8035
295,734921,1.0,3.0,1.214
296,734921,1.0,3.0,1.216
297,734921,1.0,3.0,1.0875000000000001
298,734921,1.0,3.0,1.5375
299,734921,1.0,3.0,0.6225
300,734921,1.0,3.0,1.5755000000000001
301,734921,1.0,3.0,0.5485
302,734921,1.0,3.0,0.704
303,734921,1.0,3.0,1.184
304,734921,1.0,3.0,0.551
305,734921,1.0,3.0,0.445
306,734921,1.0,3.0,0.395
307,734921,1.0,3.0,0.966
308,734921,1.0,3.0,1.298
309,734921,1.0,3.0,0.619
310,734921,1.0,3.0,0.86
311,734921,1.0,3.0,0.8095
312,734921,1.0,3.0,1.2365
313,734921,1.0,3.0,0.74
314,734921,1.0,3.0,2.0735
315,734921,1.0,3.0,0.6005
316,734921,1.0,3.0,0.612
317,734921,1.0,3.0,0.7985
318,734921,1.0,3.0,0.4985
319,734921,1.0,3.0,1.5395
320,734921,1.0,3.0,0.4835
321,734921,1.0,3.0,0.5175
322,734921,1.0,3.0,0.3945
